wall_time,step,value
1527103588.084128,201,28.71546745300293
1527103601.188616,401,24.841463088989258
1527103614.763735,601,33.0591926574707
1527103629.264102,801,31.475324630737305
1527103644.570631,1001,28.404766082763672
1527103660.857973,1201,32.99605178833008
1527103677.894831,1401,28.82988166809082
1527103695.314475,1601,29.6336612701416
1527103713.528534,1801,28.618364334106445
1527103732.904003,2001,28.535503387451172
1527103752.291826,2201,30.00011444091797
1527103772.280701,2401,30.863971710205078
1527103792.979691,2601,27.59834861755371
1527103814.501994,2801,30.90968894958496
1527103837.88636,3001,29.741769790649414
1527103860.578929,3201,30.73168182373047
1527103883.780927,3401,28.398937225341797
1527103907.880726,3601,29.469127655029297
1527103933.063734,3801,30.842079162597656
1527103958.774843,4001,27.837974548339844
1527103984.824294,4201,28.1666316986084
1527104011.434092,4401,26.962583541870117
1527104038.700136,4601,24.51627540588379
1527104066.359173,4801,25.636581420898438
1527104094.566784,5001,25.066925048828125
1527104123.241411,5201,21.333616256713867
1527104152.40444,5401,24.063947677612305
1527104182.268535,5601,19.340604782104492
1527104216.351892,5801,22.96190643310547
1527104250.359359,6001,23.721235275268555
1527104284.580364,6201,24.704294204711914
1527104319.479712,6401,23.616531372070312
1527104355.34391,6601,30.428741455078125
1527104391.961971,6801,27.9918270111084
1527104429.036023,7001,30.596471786499023
1527104466.824733,7201,29.04120635986328
1527104506.131131,7401,29.612882614135742
1527104545.946596,7601,31.10350799560547
1527104586.421901,7801,28.381425857543945
1527104627.753493,8001,30.414669036865234
1527104669.537959,8201,30.131235122680664
1527104711.837047,8401,29.59194564819336
1527104754.849494,8601,30.87559700012207
1527104798.304509,8801,30.594526290893555
1527104842.981119,9001,19.087810516357422
1527104888.386064,9201,15.45535659790039
1527104934.310802,9401,14.575052261352539
1527104981.133518,9601,20.433273315429688
1527105028.618695,9801,7.985168933868408
1527105076.725501,10001,15.69308853149414
1527105125.723291,10201,25.247610092163086
1527105175.479142,10401,8.822240829467773
1527105226.207294,10601,13.549017906188965
1527105277.470497,10801,19.351011276245117
1527105329.635643,11001,11.484954833984375
1527105382.528103,11201,14.704988479614258
1527105435.963705,11401,9.545825004577637
1527105490.358665,11601,15.485486030578613
1527105545.469873,11801,16.02083969116211
1527105601.448174,12001,16.70358657836914
1527105657.988906,12201,13.878875732421875
1527105715.49522,12401,10.005908966064453
1527105774.237926,12601,20.612831115722656
1527105833.252815,12801,12.964820861816406
1527105892.929258,13001,11.44139575958252
1527105953.533578,13201,8.668752670288086
